Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Odd_1,Odd_2,Score
AAPT Championships,10/01/2004,International,Outdoor,Hard,Semifinals,3,HrbatyD,NieminenJ,HrbatyD,2.1,1.667,6-4 6-2
AAPT Championships,10/01/2004,International,Outdoor,Hard,Semifinals,3,DentT,LlodraM,LlodraM,1.333,3.0,3-6 5-7
AAPT Championships,11/01/2004,International,Outdoor,Hard,The Final,3,HrbatyD,LlodraM,HrbatyD,1.727,2.0,6-4 6-0
TATA Open,5/01/2004,International,Outdoor,Hard,1st Round,3,VerdascoF,FerrerD,FerrerD,2.0,1.727,6-1 5-7 0-6
TATA Open,5/01/2004,International,Outdoor,Hard,1st Round,3,LevyH,PortasA,LevyH,1.57,2.25,6-4 6-3
TATA Open,5/01/2004,International,Outdoor,Hard,1st Round,3,BlancoG,van LottumJ,van LottumJ,2.625,1.444,6-7 4-6
TATA Open,5/01/2004,International,Outdoor,Hard,1st Round,3,AndreevI,Ramirez-HidalgoR,AndreevI,1.5,2.5,7-6 6-2
TATA Open,5/01/2004,International,Outdoor,Hard,1st Round,3,MankadH,AmritrajP,AmritrajP,2.35,1.5,3-6 4-6
TATA Open,5/01/2004,International,Outdoor,Hard,1st Round,3,DupuisA,PoppA,DupuisA,1.727,2.0,6-1 4-6 7-6
TATA Open,5/01/2004,International,Outdoor,Hard,1st Round,3,MutisO,GoldsteinP,GoldsteinP,2.0,1.727,3-6 3-6
TATA Open,5/01/2004,International,Outdoor,Hard,1st Round,3,LisnardJR,PlessK,LisnardJR,1.571,2.25,7-6 6-3
TATA Open,6/01/2004,International,Outdoor,Hard,1st Round,3,MontanesA,SrichaphanP,SrichaphanP,5.0,1.143,1-6 3-6
TATA Open,6/01/2004,International,Outdoor,Hard,1st Round,3,SchalkenS,UdomchokeD,SchalkenS,1.1,6.5,6-4 7-5
TATA Open,6/01/2004,International,Outdoor,Hard,1st Round,3,RastogiK,KnowleJ,KnowleJ,,,4-6 1-6
TATA Open,6/01/2004,International,Outdoor,Hard,1st Round,3,MoyaC,OkunN,MoyaC,1.143,5.0,6-3 6-4
TATA Open,6/01/2004,International,Outdoor,Hard,1st Round,3,VacekJ,MantillaF,MantillaF,2.2,1.615,3-6 6-7
TATA Open,6/01/2004,International,Outdoor,Hard,1st Round,3,RobredoT,TursunovD,RobredoT,1.4,2.75,7-5 6-7 6-4
TATA Open,6/01/2004,International,Outdoor,Hard,1st Round,3,NadalR,AscioneT,AscioneT,1.4,2.75,6-7 4-6
TATA Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,LisnardJR,DupuisA,LisnardJR,2.0,1.727,7-5 6-3
TATA Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,LevyH,SrichaphanP,SrichaphanP,5.0,1.143,2-6 2-6
TATA Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,AndreevI,FerrerD,AndreevI,2.0,1.727,6-2 6-3
TATA Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,CarlsenK,RobredoT,RobredoT,2.25,1.571,2-6 2-6
TATA Open,8/01/2004,International,Outdoor,Hard,2nd Round,3,AscioneT,AmritrajP,AscioneT,1.286,3.5,3-6 6-1 6-2
TATA Open,8/01/2004,International,Outdoor,Hard,2nd Round,3,GoldsteinP,MoyaC,MoyaC,4.333,1.2,6-3 6-7 4-6
TATA Open,8/01/2004,International,Outdoor,Hard,2nd Round,3,MantillaF,van LottumJ,MantillaF,1.533,2.375,6-7 6-4 6-4
TATA Open,8/01/2004,International,Outdoor,Hard,2nd Round,3,KnowleJ,SchalkenS,SchalkenS,4.5,1.167,3-6 3-6
TATA Open,9/01/2004,International,Outdoor,Hard,Quarterfinals,3,SrichaphanP,AndreevI,SrichaphanP,1.25,3.75,6-3 7-6
TATA Open,9/01/2004,International,Outdoor,Hard,Quarterfinals,3,MantillaF,SchalkenS,SchalkenS,2.625,1.444,2-6 6-4 6-7
TATA Open,9/01/2004,International,Outdoor,Hard,Quarterfinals,3,MoyaC,AscioneT,MoyaC,1.222,4.0,6-4 6-4
TATA Open,9/01/2004,International,Outdoor,Hard,Quarterfinals,3,LisnardJR,RobredoT,RobredoT,2.75,1.4,4-6 6-7
TATA Open,10/01/2004,International,Outdoor,Hard,Semifinals,3,SrichaphanP,RobredoT,SrichaphanP,1.4,2.75,1-6 7-6 7-5
TATA Open,10/01/2004,International,Outdoor,Hard,Semifinals,3,SchalkenS,MoyaC,MoyaC,2.2,1.615,3-6 4-6
TATA Open,11/01/2004,International,Outdoor,Hard,The Final,3,MoyaC,SrichaphanP,MoyaC,1.667,2.1,6-4 3-6 7-6
Qatar Exxon Mobil Open,5/01/2004,International,Outdoor,Hard,1st Round,3,KhalfanS,HeubergerI,HeubergerI,,,2-6 2-6
Qatar Exxon Mobil Open,5/01/2004,International,Outdoor,Hard,1st Round,3,SargsianS,CarrazG,SargsianS,1.571,2.25,3-6 6-0 6-3
Qatar Exxon Mobil Open,5/01/2004,International,Outdoor,Hard,1st Round,3,SchuettlerR,YouzhnyM,YouzhnyM,1.364,2.875,3-6 6-7
Qatar Exxon Mobil Open,5/01/2004,International,Outdoor,Hard,1st Round,3,UlihrachB,KieferN,UlihrachB,2.2,1.615,6-2 6-1
Qatar Exxon Mobil Open,5/01/2004,International,Outdoor,Hard,1st Round,3,EnqvistT,AraziH,AraziH,1.667,2.1,6-7 6-2 3-6
Qatar Exxon Mobil Open,5/01/2004,International,Outdoor,Hard,1st Round,3,HenmanT,SanchezD,HenmanT,1.083,7.0,6-4 6-0
Qatar Exxon Mobil Open,6/01/2004,International,Outdoor,Hard,1st Round,3,HantschkM,GrosjeanS,GrosjeanS,4.5,1.167,1-6 5-7
Qatar Exxon Mobil Open,6/01/2004,International,Outdoor,Hard,1st Round,3,ChelaJI,RochusO,ChelaJI,1.533,2.375,1-6 6-3 7-5
Qatar Exxon Mobil Open,6/01/2004,International,Outdoor,Hard,1st Round,3,VolandriF,CalleriA,CalleriA,3.0,1.333,4-6 6-4 4-6
Qatar Exxon Mobil Open,6/01/2004,International,Outdoor,Hard,1st Round,3,SoderlingR,GambillJM,SoderlingR,2.0,1.727,6-7 6-3 6-3
Qatar Exxon Mobil Open,6/01/2004,International,Outdoor,Hard,1st Round,3,MassuN,LjubicicI,LjubicicI,1.833,1.833,3-6 3-6
Qatar Exxon Mobil Open,6/01/2004,International,Outdoor,Hard,1st Round,3,EscudeN,El AynaouiY,EscudeN,2.2,1.615,6-3 6-0
Qatar Exxon Mobil Open,6/01/2004,International,Outdoor,Hard,1st Round,3,DavydenkoN,RoddickA,RoddickA,8.0,1.063,3-6 4-6
Qatar Exxon Mobil Open,6/01/2004,International,Outdoor,Hard,1st Round,3,KoubekS,PhilippoussisM,KoubekS,2.875,1.364,3-6 6-1 6-4
Qatar Exxon Mobil Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,YouzhnyM,SargsianS,SargsianS,1.8,1.909,6-3 3-6 2-6
Qatar Exxon Mobil Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,EscudeN,HeubergerI,EscudeN,1.286,3.5,6-3 6-2
Qatar Exxon Mobil Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,UlihrachB,GrosjeanS,GrosjeanS,3.25,1.333,1-6 4-6
Qatar Exxon Mobil Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,BjorkmanJ,RoddickA,BjorkmanJ,4.5,1.167,6-3 6-4
Qatar Exxon Mobil Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,AraziH,CalleriA,CalleriA,1.667,2.1,6-4 4-6 5-7
Qatar Exxon Mobil Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,LeeHT,KoubekS,LeeHT,2.375,1.533,6-4 6-4
Qatar Exxon Mobil Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,ChelaJI,HenmanT,HenmanT,2.75,1.4,3-6 4-6
Qatar Exxon Mobil Open,7/01/2004,International,Outdoor,Hard,2nd Round,3,LjubicicI,SoderlingR,LjubicicI,1.571,2.25,6-2 6-4
Qatar Exxon Mobil Open,8/01/2004,International,Outdoor,Hard,Quarterfinals,3,LeeHT,EscudeN,EscudeN,2.625,1.444,4-6 2-6
Qatar Exxon Mobil Open,8/01/2004,International,Outdoor,Hard,Quarterfinals,3,CalleriA,BjorkmanJ,CalleriA,2.375,1.533,6-4 6-4
Qatar Exxon Mobil Open,8/01/2004,International,Outdoor,Hard,Quarterfinals,3,GrosjeanS,LjubicicI,LjubicicI,1.5,2.5,3-6 7-5 4-6
Qatar Exxon Mobil Open,8/01/2004,International,Outdoor,Hard,Quarterfinals,3,HenmanT,SargsianS,HenmanT,1.25,3.75,6-3 6-1
Qatar Exxon Mobil Open,9/01/2004,International,Outdoor,Hard,Semifinals,3,CalleriA,EscudeN,EscudeN,2.25,1.571,2-6 3-6
Qatar Exxon Mobil Open,9/01/2004,International,Outdoor,Hard,Semifinals,3,LjubicicI,HenmanT,LjubicicI,2.75,1.4,7-6 3-6 7-6
Qatar Exxon Mobil Open,10/01/2004,International,Outdoor,Hard,The Final,3,LjubicicI,EscudeN,EscudeN,2.2,1.615,3-6 6-7
Heineken Open,11/01/2004,International,Outdoor,Hard,1st Round,3,SanchezD,GambillJM,SanchezD,,,7-6 6-3
Heineken Open,12/01/2004,International,Outdoor,Hard,1st Round,3,MalisseX,NovakJ,NovakJ,,,6-7 7-6 3-6
Heineken Open,12/01/2004,International,Outdoor,Hard,1st Round,3,SluiterR,GonzalezF,SluiterR,,,6-3 6-4
Heineken Open,12/01/2004,International,Outdoor,Hard,1st Round,3,BeckK,CarrazG,CarrazG,,,4-6 7-6 3-6
Heineken Open,12/01/2004,International,Outdoor,Hard,1st Round,3,CoriaG,KieferN,CoriaG,,,7-6 6-3
Heineken Open,12/01/2004,International,Outdoor,Hard,1st Round,3,NieminenJ,SantoroF,SantoroF,1.571,2.25,1-6 4-6
Heineken Open,12/01/2004,International,Outdoor,Hard,1st Round,3,GaudioG,StepanekR,GaudioG,1.4876666666666667,2.45,7-5 6-3
Heineken Open,12/01/2004,International,Outdoor,Hard,1st Round,3,HornaL,KohlschreiberP,KohlschreiberP,1.5,2.5,4-6 3-6
Heineken Open,13/01/2004,International,Outdoor,Hard,1st Round,3,MullerG,LapenttiN,MullerG,2.75,1.4,7-5 6-7 6-1
Heineken Open,13/01/2004,International,Outdoor,Hard,1st Round,3,CorretjaA,KuertenG,KuertenG,2.875,1.364,7-6 6-7 5-7
Heineken Open,13/01/2004,International,Outdoor,Hard,1st Round,3,HrbatyD,NielsenM,HrbatyD,1.1,6.5,6-3 6-2
Heineken Open,13/01/2004,International,Outdoor,Hard,1st Round,3,KoubekS,MartinA,MartinA,1.667,2.1,4-6 4-6
Heineken Open,13/01/2004,International,Outdoor,Hard,1st Round,3,HemmesF,SoderlingR,HemmesF,2.87,1.36,6-2 6-3
Heineken Open,13/01/2004,International,Outdoor,Hard,1st Round,3,ReaS,AncicM,AncicM,6.0625,1.115,2-6 1-6
Heineken Open,13/01/2004,International,Outdoor,Hard,1st Round,3,NadalR,SchalkenS,NadalR,2.75,1.4,7-6 6-4
Heineken Open,13/01/2004,International,Outdoor,Hard,1st Round,3,MartinT,SpadeaV,SpadeaV,2.0,1.727,3-6 4-6
Heineken Open,13/01/2004,International,Outdoor,Hard,2nd Round,3,KohlschreiberP,GaudioG,KohlschreiberP,,,7-6 6-1
Heineken Open,13/01/2004,International,Outdoor,Hard,2nd Round,3,MullerG,NovakJ,NovakJ,,,6-7 2-6
Heineken Open,14/01/2004,International,Outdoor,Hard,2nd Round,3,SluiterR,SanchezD,SluiterR,1.4,2.75,7-6 6-3
Heineken Open,14/01/2004,International,Outdoor,Hard,2nd Round,3,MartinA,KuertenG,KuertenG,,,2-6 4-6
Heineken Open,14/01/2004,International,Outdoor,Hard,2nd Round,3,SpadeaV,HemmesF,SpadeaV,,,6-1 6-2
Heineken Open,14/01/2004,International,Outdoor,Hard,2nd Round,3,SantoroF,CarrazG,CarrazG,,,2-6 4-6
Heineken Open,14/01/2004,International,Outdoor,Hard,2nd Round,3,NadalR,AncicM,NadalR,,,7-6 7-6
Heineken Open,14/01/2004,International,Outdoor,Hard,Quarterfinals,3,SluiterR,NovakJ,NovakJ,,,6-4 4-6 4-6
Heineken Open,15/01/2004,International,Outdoor,Hard,Quarterfinals,3,KuertenG,SpadeaV,KuertenG,,,6-2 7-6
Heineken Open,15/01/2004,International,Outdoor,Hard,Quarterfinals,3,KohlschreiberP,HrbatyD,HrbatyD,,,1-6 6-3 3-6
Heineken Open,16/01/2004,International,Outdoor,Hard,Semifinals,3,NadalR,NovakJ,NadalR,,,6-1 6-3
Heineken Open,16/01/2004,International,Outdoor,Hard,Semifinals,3,KuertenG,HrbatyD,HrbatyD,,,3-6 2-6
Heineken Open,17/01/2004,International,Outdoor,Hard,The Final,3,HrbatyD,NadalR,HrbatyD,,,4-6 6-2 7-5
adidas International,12/01/2004,International,Outdoor,Hard,1st Round,3,ChelaJI,RusedskiG,RusedskiG,,,6-7 6-7
adidas International,12/01/2004,International,Outdoor,Hard,1st Round,3,HewittL,SargsianS,HewittL,,,6-4 6-2
adidas International,12/01/2004,International,Outdoor,Hard,1st Round,3,MassuN,ReidT,ReidT,,,6-7 6-2 4-6
adidas International,12/01/2004,International,Outdoor,Hard,1st Round,3,JohanssonJ,SchuettlerR,JohanssonJ,3.4,1.3,6-4 6-4
adidas International,13/01/2004,International,Outdoor,Hard,1st Round,3,BlakeJ,FerreiraW,FerreiraW,1.444,2.625,2-6 4-6
adidas International,13/01/2004,International,Outdoor,Hard,1st Round,3,MirnyiM,CalleriA,MirnyiM,1.615,2.2,7-5 6-3
adidas International,13/01/2004,International,Outdoor,Hard,1st Round,3,ArthursW,VerkerkM,VerkerkM,2.0,1.727,4-6 4-6
adidas International,13/01/2004,International,Outdoor,Hard,1st Round,3,KuceraV,LopezF,KuceraV,1.615,2.2,6-7 7-6 6-3
adidas International,13/01/2004,International,Outdoor,Hard,1st Round,3,Ramirez-HidalgoR,PhilippoussisM,PhilippoussisM,5.5,1.125,4-6 7-5 2-6
adidas International,13/01/2004,International,Outdoor,Hard,1st Round,3,ClementA,FishM,ClementA,2.25,1.571,6-3 6-3
adidas International,13/01/2004,International,Outdoor,Hard,1st Round,3,YouzhnyM,LlodraM,LlodraM,1.667,2.1,4-6 2-6
adidas International,13/01/2004,International,Outdoor,Hard,1st Round,3,MoyaC,BogomolovA,MoyaC,1.2,4.0,7-5 6-4
adidas International,13/01/2004,International,Outdoor,Hard,1st Round,3,FerreroJ,GuccioneC,GuccioneC,1.083,7.0,3-6 6-7
adidas International,13/01/2004,International,Outdoor,Hard,1st Round,3,RobredoT,CostaA,RobredoT,1.571,2.25,6-2 6-3
adidas International,14/01/2004,International,Outdoor,Hard,1st Round,3,BjorkmanJ,SrichaphanP,SrichaphanP,2.625,1.444,5-7 6-1 1-6
adidas International,14/01/2004,International,Outdoor,Hard,2nd Round,3,ClementA,JohanssonJ,ClementA,1.5,2.5,6-4 7-5
adidas International,14/01/2004,International,Outdoor,Hard,2nd Round,3,MirnyiM,VerkerkM,VerkerkM,1.571,2.25,7-6 6-7 6-7
adidas International,14/01/2004,International,Outdoor,Hard,2nd Round,3,MoyaC,LlodraM,MoyaC,1.4,2.75,7-6 6-3
adidas International,14/01/2004,International,Outdoor,Hard,2nd Round,3,SrichaphanP,RobredoT,RobredoT,1.6,2.25,6-4 1-6 6-7
adidas International,14/01/2004,International,Outdoor,Hard,2nd Round,3,HewittL,KuceraV,HewittL,1.167,4.5,6-4 6-1
adidas International,14/01/2004,International,Outdoor,Hard,2nd Round,3,MantillaF,ReidT,ReidT,1.667,2.1,4-6 1-6
adidas International,14/01/2004,International,Outdoor,Hard,2nd Round,3,PhilippoussisM,RusedskiG,PhilippoussisM,1.533,2.375,6-3 1-6 6-4
adidas International,14/01/2004,International,Outdoor,Hard,2nd Round,3,GuccioneC,FerreiraW,FerreiraW,3.25,1.333,6-7 5-7
adidas International,15/01/2004,International,Outdoor,Hard,Quarterfinals,3,MoyaC,RobredoT,MoyaC,1.533,2.375,6-1 6-2
adidas International,15/01/2004,International,Outdoor,Hard,Quarterfinals,3,ClementA,HewittL,HewittL,4.0,1.222,1-6 6-4 3-6
adidas International,15/01/2004,International,Outdoor,Hard,Quarterfinals,3,FerreiraW,ReidT,FerreiraW,1.615,2.2,6-4 6-4
adidas International,15/01/2004,International,Outdoor,Hard,Quarterfinals,3,PhilippoussisM,VerkerkM,VerkerkM,1.444,2.625,4-6 6-7
adidas International,16/01/2004,International,Outdoor,Hard,Semifinals,3,MoyaC,FerreiraW,MoyaC,1.444,2.625,6-2 6-1
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,ClementA,DavydenkoN,DavydenkoN,1.25,3.75,7-6 6-4 4-6 1-6 2-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,GuccioneC,JonesA,GuccioneC,1.44,2.62,6-3 7-6 6-2
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,HornaL,GinepriR,GinepriR,4.333,1.2,5-7 3-6 3-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,ChelaJI,LabadzeI,ChelaJI,1.333,3.25,6-4 6-3 3-6 6-3
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,KoubekS,BeckK,BeckK,1.727,2.0,4-6 0-6 6-2 4-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,PatienceO,AndreevI,PatienceO,2.75,1.4,4-6 4-6 7-6 6-1 6-2
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,TursunovD,LjubicicI,LjubicicI,3.5,1.286,6-7 4-6 7-5 2-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,LapenttiN,HernandezO,LapenttiN,1.222,4.0,6-1 6-3 6-1
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,PortasA,GolmardJ,GolmardJ,3.5,1.286,6-7 4-6 1-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,SoderlingR,SchuettlerR,SoderlingR,3.25,1.333,4-6 4-6 7-5 6-3 6-4
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,van LottumJ,KuertenG,KuertenG,4.333,1.2,7-5 0-6 1-6 6-2 6-8
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,SrichaphanP,AcasusoJ,SrichaphanP,1.071,7.5,7-5 6-4 6-0
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,CarlsenK,SchalkenS,SchalkenS,3.75,1.25,5-7 3-6 1-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,EnqvistT,SpadeaV,EnqvistT,2.5,1.5,4-6 6-4 6-4 7-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,RobredoT,GaudioG,GaudioG,1.4,2.75,3-6 2-6 6-7
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,GrosjeanS,YouzhnyM,GrosjeanS,1.333,3.25,6-1 6-4 7-5
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,LeeHT,EscudeN,EscudeN,4.5,1.167,3-6 6-7 2-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,MelzerJ,BehrendT,MelzerJ,1.533,2.375,6-1 6-1 6-2
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,FishM,KarlovicI,KarlovicI,1.333,3.25,6-7 6-7 6-7
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,MartinT,DupuisA,MartinT,1.404,3.016666666666667,4-6 4-6 7-6 7-6 6-3
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,MahutN,BerdychT,BerdychT,1.72,2.0,4-6 2-6 7-5 3-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,FerrerD,MullerG,FerrerD,2.2,1.615,7-6 6-1 6-3
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,GonzalezF,RoddickA,RoddickA,4.5,1.167,2-6 5-7 6-7
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,HrbatyD,SarettaF,HrbatyD,1.25,3.75,6-3 6-3 6-3
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,BurgsmullerL,UlihrachB,UlihrachB,2.25,1.571,4-6 6-3 2-6 1-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,BlakeJ,MirandaI,BlakeJ,,,6-1 6-4 6-4
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,MassuN,NieminenJ,NieminenJ,1.833,1.833,1-6 7-6 2-6 3-6
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,SafinM,VahalyB,SafinM,1.143,5.0,6-2 3-6 6-3 6-4
Australian Open,19/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,LarkhamT,AgassiA,AgassiA,11.0,1.02,1-6 3-6 4-6
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,AraziH,MutisO,AraziH,1.333,3.25,7-5 2-6 6-0 6-3
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,RusedskiG,CostaA,CostaA,1.571,2.25,4-6 3-6 4-6
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,ReidT,KutsenkoV,ReidT,1.25,3.75,6-3 6-2 6-3
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,van ScheppingenD,MorrisonJ,MorrisonJ,2.375,1.533,4-6 2-6 4-6
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,AscioneT,MantillaF,AscioneT,2.25,1.571,7-5 6-1 7-6
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,RochusO,NovakJ,NovakJ,3.75,1.25,3-6 3-6 5-7
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,VacekJ,Ramirez-HidalgoR,VacekJ,1.727,2.0,6-2 3-6 6-3 6-4
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,LopezF,MartinA,MartinA,1.5,2.5,6-3 6-4 6-7 4-6 2-6
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,JohanssonJ,PoppA,JohanssonJ,1.571,2.25,6-4 7-6 6-4
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,BogomolovA,FedererR,FedererR,7.0,1.083,3-6 4-6 0-6
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,VolandriF,KieferN,VolandriF,2.5,1.5,6-3 4-6 6-3 6-4
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,SluiterR,AncicM,AncicM,1.833,1.833,7-6 4-6 6-3 4-6 3-6
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,SargsianS,BjorkmanJ,SargsianS,2.25,1.571,6-2 6-3 6-1
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,CoriaG,SaulnierC,SaulnierC,1.2375,3.8833333333333337,6-7 2-6 4-6
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,ArthursW,KaranusicR,ArthursW,1.57,2.25,7-6 6-4 6-7 6-7 6-2
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,TabaraM,NadalR,NadalR,4.333,1.2,1-6 2-6 2-6
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,NalbandianD,MelloR,NalbandianD,1.04,9.0,6-2 6-1 6-4
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,GasquetR,MayerF,MayerF,1.668,2.31,5-7 4-6 3-6
Australian Open,20/01/2004,Grand Slam,Outdoor,Hard,1st Round,5,KuceraK,MalisseX,KuceraK,2.2,1.615,6-2 6-3 6-4
